lat,lon,month,dissolved_oxygen
-15.0,-5.0,3,169.1591724137931
-10.0,-100.0,3,114.04017241379312
-10.0,-95.0,3,109.37562068965516
-10.0,-90.0,3,81.35755172413795
-10.0,-85.0,3,66.53058620689654
-10.0,-80.0,3,43.200241379310334
-10.0,-35.0,3,181.80575862068966
-10.0,-30.0,3,181.82706896551724
-10.0,-25.0,3,177.30568965517244
-10.0,-20.0,3,166.11241379310346
-10.0,-15.0,3,157.70610344827585
-10.0,-10.0,3,159.55324137931038
-10.0,-5.0,3,139.2003448275862
-5.0,-100.0,3,106.0816551724138
-5.0,-95.0,3,111.94527586206897
-5.0,-90.0,3,113.36524137931033
-5.0,-85.0,3,96.42275862068966
-5.0,-45.0,3,188.31962068965518
-5.0,-40.0,3,184.525448275862
-5.0,-35.0,3,172.7446896551724
-5.0,-30.0,3,172.9084827586207
-5.0,-25.0,3,172.63441379310348
-5.0,-20.0,3,164.47262068965517
-5.0,-15.0,3,154.2769655172414
-5.0,-10.0,3,153.7226296296296
-5.0,-5.0,3,151.4474482758621
0.0,-100.0,3,118.76644827586207
0.0,-95.0,3,119.76824137931035
0.0,-90.0,3,115.47582758620689
0.0,-85.0,3,105.38717241379312
0.0,-80.0,3,98.23931034482759
0.0,-50.0,3,185.85062068965516
0.0,-45.0,3,189.63910344827588
0.0,-40.0,3,182.36782758620694
0.0,-35.0,3,171.28099999999998
0.0,-30.0,3,167.20237931034484
0.0,-25.0,3,160.85799999999998
0.0,-20.0,3,155.91300000000004
0.0,-15.0,3,163.99717241379312
0.0,-10.0,3,141.27389285714284
0.0,-5.0,3,148.53900000000004
5.0,-100.0,3,104.63468965517241
5.0,-95.0,3,90.32555172413794
5.0,-90.0,3,88.02144827586207
5.0,-85.0,3,67.52537931034482
5.0,-80.0,3,78.65244827586206
5.0,-60.0,3,175.00282758620688
5.0,-55.0,3,187.0253448275862
5.0,-50.0,3,182.0836551724138
5.0,-45.0,3,186.14279310344827
5.0,-40.0,3,184.4888965517241
5.0,-35.0,3,169.17203448275865
5.0,-30.0,3,153.94872413793107
5.0,-25.0,3,142.3336206896552
5.0,-20.0,3,120.41406896551723
5.0,-15.0,3,116.33944827586208
10.0,-100.0,3,107.81400000000001
10.0,-95.0,3,91.34182758620688
10.0,-90.0,3,91.54141379310344
10.0,-80.0,3,194.12528571428567
10.0,-75.0,3,188.40396551724137
10.0,-70.0,3,166.85441379310345
10.0,-65.0,3,160.51020689655172
10.0,-60.0,3,181.27089655172412
10.0,-55.0,3,190.17934482758622
10.0,-50.0,3,186.20948275862068
10.0,-45.0,3,179.87893103448278
10.0,-40.0,3,163.36358620689657
10.0,-35.0,3,158.79248275862065
10.0,-30.0,3,146.8600344827586
10.0,-25.0,3,130.47424137931034
10.0,-20.0,3,106.60068965517243
15.0,-100.0,3,99.35806896551722
15.0,-85.0,3,197.32979310344825
15.0,-80.0,3,201.3331724137931
15.0,-75.0,3,197.94655555555553
15.0,-70.0,3,203.16331034482758
15.0,-65.0,3,193.53858620689655
15.0,-60.0,3,201.81965517241375
15.0,-50.0,3,199.5520689655172
15.0,-45.0,3,204.43034482758623
15.0,-40.0,3,199.41789655172408
15.0,-35.0,3,187.43551724137936
15.0,-30.0,3,165.9316551724138
15.0,-25.0,3,156.7216551724138
15.0,-20.0,3,112.96020689655172
20.0,-95.0,3,193.27141379310348
20.0,-90.0,3,187.37310344827583
20.0,-85.0,3,195.58448275862068
20.0,-80.0,3,234.033
20.0,-75.0,3,206.5955517241379
20.0,-70.0,3,206.71627586206895
20.0,-65.0,3,205.27431034482763
20.0,-60.0,3,205.0176896551724
20.0,-55.0,3,201.95717241379307
20.0,-50.0,3,206.5237931034483
20.0,-45.0,3,209.6139310344828
20.0,-40.0,3,209.84406896551724
20.0,-35.0,3,213.12755172413796
20.0,-30.0,3,198.7448275862069
20.0,-25.0,3,188.97337931034485
