lat,lon,date,sst
34.5,-89.5,2006-10-01,28.550001
34.5,-89.5,2006-11-01,29.250002
34.5,-89.5,2006-12-01,29.143002
34.5,-89.5,2007-01-01,29.115002
34.5,-89.5,2007-02-01,29.070002
34.5,-89.5,2007-03-01,29.090002
34.5,-89.5,2007-04-01,29.103
34.5,-89.5,2007-05-01,29.29
34.5,-89.5,2007-06-01,29.478
34.5,-89.5,2007-07-01,29.633001
34.5,-89.5,2007-08-01,29.658
34.5,-89.5,2007-09-01,29.628002
34.5,-89.5,2007-10-01,29.498001
34.5,-89.5,2007-11-01,29.303001
34.5,-89.5,2007-12-01,28.425001
34.5,-89.5,2008-01-01,28.733002
34.5,-89.5,2008-02-01,28.833002
34.5,-89.5,2008-03-01,29.080002
34.5,-89.5,2008-04-01,29.338001
34.5,-89.5,2008-05-01,29.058
34.5,-89.5,2008-06-01,29.19
34.5,-89.5,2008-07-01,
34.5,-89.5,2008-08-01,29.073002
34.5,-89.5,2008-09-01,28.943
34.5,-89.5,2008-10-01,29.275002
34.5,-89.5,2008-11-01,29.470001
34.5,-89.5,2008-12-01,29.350002
34.5,-89.5,2009-01-01,29.260002
34.5,-89.5,2009-02-01,29.27
34.5,-89.5,2009-03-01,29.378002
34.5,-89.5,2009-04-01,29.7
34.5,-89.5,2009-05-01,29.888
34.5,-89.5,2009-06-01,29.875002
34.5,-89.5,2009-07-01,30.025002
34.5,-89.5,2009-08-01,29.005001
34.5,-89.5,2009-09-01,29.113
34.5,-89.5,2009-10-01,29.125002
34.5,-89.5,2009-11-01,29.250002
34.5,-89.5,2009-12-01,
34.5,-89.5,2010-01-01,29.45
34.5,-89.5,2010-02-01,
34.5,-89.5,2010-03-01,
34.5,-89.5,2010-04-01,28.513
34.5,-89.5,2010-05-01,28.798002
34.5,-89.5,2010-06-01,28.653002
34.5,-89.5,2010-07-01,29.825
34.5,-89.5,2010-08-01,29.465002
34.5,-89.5,2010-09-01,29.633001
34.5,-89.5,2010-10-01,29.725002
34.5,-89.5,2010-11-01,29.953001
34.5,-89.5,2010-12-01,30.203001
34.5,-89.5,2011-01-01,30.425001
34.5,-89.5,2011-02-01,30.368002
34.5,-89.5,2011-03-01,30.328001
34.5,-89.5,2011-04-01,28.518002
34.5,-89.5,2011-05-01,28.383001
34.5,-89.5,2011-06-01,28.45
34.5,-89.5,2011-07-01,28.385002
34.5,-89.5,2011-08-01,28.693
34.5,-89.5,2011-09-01,
34.5,-89.5,2011-10-01,29.170002
34.5,-89.5,2011-11-01,28.648
34.5,-89.5,2011-12-01,28.430002
34.5,-89.5,2012-01-01,28.438002
34.5,-89.5,2012-02-01,27.575
34.5,-89.5,2012-03-01,27.363
34.5,-89.5,2012-04-01,
34.5,-89.5,2012-05-01,
34.5,-89.5,2012-06-01,
34.5,-89.5,2012-07-01,29.403002
34.5,-89.5,2012-08-01,29.935001
34.5,-89.5,2012-09-01,30.270002
34.5,-89.5,2012-10-01,30.488
34.5,-89.5,2012-11-01,30.358002
34.5,-89.5,2012-12-01,27.6
34.5,-89.5,2013-01-01,27.640001
34.5,-89.5,2013-02-01,27.305002
34.5,-89.5,2013-03-01,27.158
34.5,-89.5,2013-04-01,26.858002
34.5,-89.5,2013-05-01,26.740002
34.5,-89.5,2013-06-01,26.795002
34.5,-89.5,2013-07-01,27.408
34.5,-89.5,2013-08-01,28.2
34.5,-89.5,2013-09-01,28.615002
34.5,-89.5,2013-10-01,28.668001
34.5,-89.5,2013-11-01,27.623001
34.5,-89.5,2013-12-01,27.173002
34.5,-89.5,2014-01-01,26.128002
34.5,-89.5,2014-02-01,26.710001
34.5,-89.5,2014-03-01,27.723001
34.5,-89.5,2014-04-01,28.328001
34.5,-89.5,2014-05-01,28.588001
34.5,-89.5,2014-06-01,28.995
34.5,-89.5,2014-07-01,29.285002
34.5,-89.5,2014-08-01,
34.5,-89.5,2014-09-01,
34.5,-89.5,2014-10-01,
34.5,-89.5,2014-11-01,
34.5,-89.5,2014-12-01,
34.5,-89.5,2015-01-01,
34.5,-89.5,2015-02-01,
34.5,-89.5,2015-03-01,
34.5,-89.5,2015-04-01,16.26
34.5,-89.5,2015-05-01,17.310001
34.5,-89.5,2015-06-01,19.613
34.5,-89.5,2015-07-01,
34.5,-89.5,2015-08-01,22.500002
34.5,-89.5,2015-09-01,22.978
34.5,-89.5,2015-10-01,23.063002
34.5,-89.5,2015-11-01,22.453001
34.5,-89.5,2015-12-01,21.800001
34.5,-89.5,2016-01-01,21.568
34.5,-89.5,2016-02-01,20.963001
34.5,-89.5,2016-03-01,20.688002
34.5,-89.5,2016-04-01,
34.5,-89.5,2016-05-01,
34.5,-89.5,2016-06-01,
34.5,-89.5,2016-07-01,
34.5,-89.5,2016-08-01,
34.5,-89.5,2016-09-01,
34.5,-89.5,2016-10-01,
34.5,-89.5,2016-11-01,
34.5,-89.5,2016-12-01,
34.5,-89.5,2017-01-01,22.54
34.5,-89.5,2017-02-01,24.78
34.5,-89.5,2017-03-01,24.855001
34.5,-89.5,2017-04-01,25.058
34.5,-89.5,2017-05-01,25.29
34.5,-89.5,2017-06-01,25.438002
34.5,-89.5,2017-07-01,24.653002
34.5,-89.5,2017-08-01,24.220001
34.5,-89.5,2017-09-01,23.883001
34.5,-89.5,2017-10-01,23.240002
34.5,-89.5,2017-11-01,22.898
34.5,-89.5,2017-12-01,
34.5,-89.5,2018-01-01,
34.5,-89.5,2018-02-01,
34.5,-89.5,2018-03-01,
34.5,-89.5,2018-04-01,
34.5,-89.5,2018-05-01,
34.5,-89.5,2018-06-01,
34.5,-89.5,2018-07-01,
34.5,-89.5,2018-08-01,22.935001
34.5,-89.5,2018-09-01,25.750002
34.5,-89.5,2018-10-01,25.888
34.5,-89.5,2018-11-01,26.963001
34.5,-89.5,2018-12-01,27.443
34.5,-89.5,2019-01-01,27.423002
34.5,-89.5,2019-02-01,27.375002
34.5,-89.5,2019-03-01,26.825
34.5,-89.5,2019-04-01,26.518002
34.5,-89.5,2019-05-01,26.303001
34.5,-89.5,2019-06-01,25.843
34.5,-89.5,2019-07-01,25.693
34.5,-89.5,2019-08-01,
34.5,-89.5,2019-09-01,28.005001
34.5,-89.5,2019-10-01,28.515001
34.5,-89.5,2019-11-01,
34.5,-89.5,2019-12-01,
34.5,-89.5,2020-01-01,
34.5,-89.5,2020-02-01,
34.5,-89.5,2020-03-01,25.935001
34.5,-89.5,2020-04-01,26.45
34.5,-89.5,2020-05-01,26.750002
34.5,-89.5,2020-06-01,27.725
34.5,-89.5,2020-07-01,28.178001
34.5,-89.5,2020-08-01,28.583002
34.5,-89.5,2020-09-01,28.473001
34.5,-89.5,2020-10-01,28.305002
34.5,-89.5,2020-11-01,28.045002
34.5,-89.5,2020-12-01,27.943
34.5,-89.5,2021-01-01,27.635002
34.5,-89.5,2021-02-01,27.335001
34.5,-89.5,2021-03-01,27.275002
34.5,-89.5,2021-04-01,27.86
34.5,-89.5,2021-05-01,28.118002
34.5,-89.5,2021-06-01,28.383001
34.5,-89.5,2021-07-01,28.818
34.5,-89.5,2021-08-01,
34.5,-89.5,2021-09-01,
34.5,-89.5,2021-10-01,26.833002
34.5,-89.5,2021-11-01,27.913002
34.5,-89.5,2021-12-01,28.633001
34.5,-89.5,2022-01-01,28.145
34.5,-89.5,2022-02-01,28.810001
34.5,-89.5,2022-03-01,28.978
34.5,-89.5,2022-04-01,29.025002
34.5,-89.5,2022-05-01,29.04
34.5,-89.5,2022-06-01,29.015001
34.5,-89.5,2022-07-01,29.025002
34.5,-89.5,2022-08-01,28.913002
34.5,-89.5,2022-09-01,28.778002
34.5,-89.5,2022-10-01,28.54
34.5,-89.5,2022-11-01,28.355001
34.5,-89.5,2022-12-01,28.295002
