,year,month,lon_rounded_up,lat_rounded_up,chlor_a
623,2004,7,-85,5,0.1695536815145344
624,2004,7,-85,10,0.30924131475773975
625,2004,7,-85,15,1.6443925502559522
626,2004,7,-85,20,1.3076778084527032
627,2004,7,-85,25,0.3694973002736273
628,2004,7,-85,30,1.4741936321975524
629,2004,7,-85,35,4.619120230625578
630,2004,7,-80,-10,0.18890994856842158
631,2004,7,-80,-5,0.6090022659797449
632,2004,7,-80,0,0.836331653925414
633,2004,7,-80,5,0.2049114548754069
634,2004,7,-80,10,0.4087271201367787
635,2004,7,-80,15,1.5505219436758102
636,2004,7,-80,20,0.13564171353490312
637,2004,7,-80,25,0.34562403046881307
638,2004,7,-80,30,1.1223795329915134
639,2004,7,-80,35,3.873224898775673
640,2004,7,-75,-10,3.1103269725761717
641,2004,7,-75,-5,1.7174922932847478
642,2004,7,-75,0,3.233061745762825
643,2004,7,-75,5,0.9256706446872608
644,2004,7,-75,10,3.3273941860002028
645,2004,7,-75,15,0.19892129403234216
646,2004,7,-75,20,0.07048879116539863
647,2004,7,-75,25,0.5132173810156805
648,2004,7,-75,30,0.2968729334320634
649,2004,7,-75,35,0.25302112850066805
650,2004,7,-70,-10,21.248259623845417
651,2004,7,-70,-5,
652,2004,7,-70,0,
653,2004,7,-70,5,
654,2004,7,-70,10,24.857995925653285
655,2004,7,-70,15,0.8396768158306595
656,2004,7,-70,20,0.10573417474175091
657,2004,7,-70,25,0.042128518900180816
658,2004,7,-70,30,0.028620308933989407
659,2004,7,-70,35,0.03782732339803676
660,2004,7,-65,-10,6.332490784889446
661,2004,7,-65,-5,
662,2004,7,-65,0,
663,2004,7,-65,5,
664,2004,7,-65,10,
665,2004,7,-65,15,0.3932917657630241
666,2004,7,-65,20,0.2094668100929402
667,2004,7,-65,25,0.04143434839181115
668,2004,7,-65,30,0.028074484633715077
669,2004,7,-65,35,0.04375846459351919
670,2004,7,-60,-10,68.85688781738281
671,2004,7,-60,-5,24.51701068878174
672,2004,7,-60,0,17.94245676199595
673,2004,7,-60,5,
674,2004,7,-60,10,15.83484331827239
675,2004,7,-60,15,1.4031510642735383
676,2004,7,-60,20,0.17245551613923396
677,2004,7,-60,25,0.03543591142876381
678,2004,7,-60,30,0.026272264623690124
679,2004,7,-60,35,0.04684356743158422
680,2004,7,-55,-10,31.241522796948754
681,2004,7,-55,-5,
682,2004,7,-55,0,18.253130970225964
683,2004,7,-55,5,21.633833853025287
684,2004,7,-55,10,3.274893318990782
685,2004,7,-55,15,0.31407649749364047
686,2004,7,-55,20,0.1853942582485931
687,2004,7,-55,25,0.042891475553829474
688,2004,7,-55,30,0.024603291217844558
